,Michigan,Penn State,Ohio State,Nebraska,Wisconsin,Michigan State,Iowa,Illinois,Purdue,Indiana,Minnesota,Rutgers,Maryland,Northwestern
Michigan,0,516.8325,259.3497,1090.3737,472.0779,79.3667,649.1763,446.5609,334.2242,415.6559,820.4459,799.0255,680.1633,326.1386
Penn State,516.8325,0,446.8176,1584.9493,988.4668,590.0207,1149.1204,882.2584,766.5048,760.9393,1333.7649,288.2574,217.0555,832.141
Ohio State,259.3497,446.8176,0,1162.4109,632.5238,327.2505,741.5638,444.5599,334.8576,314.2923,1003.0054,728.6889,533.5022,454.5827
Nebraska,1090.3737,1584.9493,1162.4109,0,653.4124,1035.5588,441.3441,721.5636,827.5794,886.5361,542.6726,1873.1876,1695.8177,764.402
Wisconsin,472.0779,988.4668,632.5238,653.4124,0,403.5935,235.8584,344.8891,359.1107,495.9406,371.61,1270.9528,1139.5307,179.9801
Michigan State,79.3667,590.0207,327.2505,1035.5588,403.5935,0,594.6662,428.5279,325.9551,430.5023,744.4239,868.8807,758.3315,273.8011
Iowa,649.1763,1149.1204,741.5638,441.3441,235.8584,594.6662,0,328.5887,412.0731,507.2955,393.4202,1436.8982,1272.7872,323.0952
Illinois,446.5609,882.2584,444.5599,721.5636,344.8891,428.5279,328.5887,0,117.9596,178.7405,679.5567,1168.7596,976.1724,223.5637
Purdue,334.2242,766.5048,334.8576,827.5794,359.1107,325.9551,412.0731,117.9596,0,143.5175,721.9126,1053.7266,868.3444,192.7782
Indiana,415.6559,760.9393,314.2923,886.5361,495.9406,430.5023,507.2955,178.7405,143.5175,0,849.436,1040.5434,827.5057,335.8864
Minnesota,820.4459,1333.7649,1003.0054,542.6726,371.61,744.4239,393.4202,679.5567,721.9126,849.436,0,1607.7295,1498.9802,551.5373
Rutgers,799.0255,288.2574,728.6889,1873.1876,1270.9528,868.8807,1436.8982,1168.7596,1053.7266,1040.5434,1607.7295,0,271.7508,1118.6235
Maryland,680.1633,217.0555,533.5022,1695.8177,1139.5307,758.3315,1272.7872,976.1724,868.3444,827.5057,1498.9802,271.7508,0,970.5945
Northwestern,326.1386,832.141,454.5827,764.402,179.9801,273.8011,323.0952,223.5637,192.7782,335.8864,551.5373,1118.6235,970.5945,0
